id,preferred_name,alternative_names,category,description
http://data.europa.eu/esco/occupation/03632d98-0ae3-4dd2-941c-3b48de9a0219,performance,performance production|performance production manager|production|production manager|production manager live,general,"They deal with matters ranging from the recruitment of staff, procurement of materials and services, to freight, customs coordination, telecommunications, labor relations, logistics, information technology, government liaison, venue booking, scheduling, operations management, mending delay problems and workplace safety."
http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,metal,metal production|metal production manager|production|production manager|production manager metal,general,"They create and schedule production plans, recruit new staff, enforce safety and company policies, and strive for customer satisfaction through guaranteeing the product's quality."
http://data.europa.eu/esco/occupation/036dc42f-bd4d-4533-a3cc-fcd313227ce3,aircraft,aircraft engine|aircraft engine assembler|engine|engine assembler|engine assembler light,technical,They review specifications and technical drawings to determine materials and assembly instructions.  They inspect and test the engines and reject malfunctioning components.
http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6,quarry,quarry engineer|quarry engineer drilling|engineer|engineer drilling|engineer drilling &,general,"They develop plans before a new quarry is opened, assessing if the quarry is profitable.  Quarry engineers manage the everyday operations in a quarry, create and maintain progress reports, oversee the staff, ensure health and safety and assess the environmental impact a quarry has on its environment."
http://data.europa.eu/esco/occupation/03b55cb5-9735-4582-8e20-2b1cb76635cb,audiology,audiology equipment|audiology equipment shop|equipment|equipment shop|equipment shop manager,general,
http://data.europa.eu/esco/occupation/03b9d7c4-9590-4e0d-97a7-470254e165d4,hardware,hardware and|hardware and paint|and|and paint|and paint specialised,general,
http://data.europa.eu/esco/occupation/03d79393-7b30-4159-945b-01963eddd302,primary,primary school|primary school teacher|school|school teacher|school teacher primary,general,"They develop lesson plans in line with curriculum objectives for the variety of subjects they teach, including mathematics, languages, nature studies and music.  They monitor the students' learning development and evaluate their knowledge and skills on the subjects taught through tests.  They build their course content on the students' knowledge of previous learnings and encourage them to deepen their understanding on the subjects they are interested in.  They use class resources and teaching methods to create an inspiring learning environment.  Primary school teachers also contribute to school events and communicate with parents and administrative staff."
http://data.europa.eu/esco/occupation/03e02554-15d1-4697-960c-8909e7d36f7e,tram,tram driver|tram driver light|driver|driver light|driver light rail,general,
http://data.europa.eu/esco/occupation/040f62f5-d570-4d3f-b732-c8ea4afc2738,container,container equipment|container equipment assembly|equipment|equipment assembly|equipment assembly supervisor,general,They train and coach the workers involved in the assembly to achieve production goals.
http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16,warehouse,warehouse operators|warehouse operators for|operators|operators for|operators for clothing,general,"They ensure that all the components necessary for the production of clothing are ready to use in the production chain by classifying and registering the purchased component, forecasting purchases and distributing them across different departments."
